time_s,source,accepted,diversity_score,objective,pool_best_obj
10.2734,hgs_child,1,0.732468,34711.9,26011.1
10.3884,hgs_child,1,0.750649,38467.3,26011.1
10.5126,hgs_child,1,0.314286,33674.9,26011.1
10.6135,hgs_child,1,0.168831,30436.8,26011.1
10.7162,hgs_child,1,0.355844,35852,26011.1
10.8174,hgs_child,1,0.475325,40254.3,26011.1
10.9185,hgs_child,1,0.714286,34431.5,26011.1
11.0195,hgs_child,1,0.251948,36031.3,26011.1
11.1207,hgs_child,1,0.675325,33803.1,26011.1
11.222,hgs_child,1,0.438961,37904.3,26011.1
11.3231,hgs_child,1,0.724675,41676.3,26011.1
11.4244,hgs_child,1,0.633766,39966.4,26011.1
11.5254,hgs_child,1,0.542857,37639.1,26011.1
11.6265,hgs_child,1,0.823377,37080.8,26011.1
11.7274,hgs_child,1,0.223377,32928.6,26011.1
11.8286,hgs_child,1,0.714286,38194.5,26011.1
11.9295,hgs_child,1,0.18961,35439.9,26011.1
12.032,hgs_child,1,0.319481,35121.6,26011.1
12.133,hgs_child,1,0.732468,44395.5,26011.1
12.2344,hgs_child,1,0.667532,37728.1,26011.1
12.3355,hgs_child,1,0.657143,36794.7,26011.1
12.4365,hgs_child,1,0.311688,39768.9,26011.1
12.5376,hgs_child,1,0.303896,34423.8,26011.1
12.6385,hgs_child,1,0.158442,38470,26011.1
12.7396,hgs_child,1,0.592208,37534.2,26011.1
12.8406,hgs_child,1,0.574026,38037.7,26011.1
12.9417,hgs_child,1,0.680519,34217.9,26011.1
13.0293,hgs_child,1,0.18961,27353.5,26011.1
13.1303,hgs_child,1,0.490909,40138.7,26011.1
13.2313,hgs_child,1,0.423377,36848.5,26011.1
13.4327,hgs_child,1,0.696104,37252.9,26011.1
13.5337,hgs_child,1,0.353247,31488.7,26011.1
13.6347,hgs_child,1,0.379221,31854.5,26011.1
13.7356,hgs_child,1,0.225974,29514.3,26011.1
13.8367,hgs_child,1,0.67013,36732.8,26011.1
13.9377,hgs_child,1,0.192208,30093,26011.1
14.0395,hgs_child,1,0.781818,39439.5,26011.1
14.1406,hgs_child,1,0.8,36902.3,26011.1
14.242,hgs_child,1,0.581818,38456.9,26011.1
14.3433,hgs_child,1,0.781818,39759.3,26011.1
14.4444,hgs_child,1,0.701299,36504.9,26011.1
14.4971,worker_0,1,0.779221,27373.9,26011.1
14.5391,worker_0,1,0.18961,27352,26011.1
14.5454,hgs_child,1,0.376623,36760.9,26011.1
14.5805,worker_0,0,0.038961,27343,26011.1
14.6045,worker_0,1,0.106494,27249.6,26011.1
14.6463,hgs_child,1,0.207792,35030.4,26011.1
14.7473,hgs_child,1,0.280519,29514.2,26011.1
14.8483,hgs_child,1,0.301299,31302.1,26011.1
14.9494,hgs_child,1,0.594805,36777.3,26011.1
15.0504,hgs_child,1,0.387013,37657.7,26011.1
15.1513,hgs_child,1,0.187013,27901.5,26011.1
15.2523,hgs_child,1,0.249351,28023,26011.1
15.3534,hgs_child,1,0.228571,29506.5,26011.1
15.4548,hgs_child,1,0.672727,40632.7,26011.1
15.5559,hgs_child,1,0.368831,35996.5,26011.1
15.6568,hgs_child,1,0.220779,28359.8,26011.1
15.723,hgs_child,1,0.103896,26118.4,26011.1
15.8241,hgs_child,1,0.737662,37600.7,26011.1
15.9251,hgs_child,1,0.628571,36172.5,26011.1
16.0262,hgs_child,1,0.703896,39734.6,26011.1
16.0435,worker_0,1,0.579221,27215.1,26011.1
16.0503,worker_0,0,0.0883117,27214.2,26011.1
16.0824,worker_0,1,0.166234,27206.2,26011.1
16.0909,worker_0,0,0.0545455,27205.4,26011.1
16.1061,worker_0,1,0.119481,27124.4,26011.1
16.1272,hgs_child,1,0.381818,31806.5,26011.1
16.1287,worker_2,1,0.646753,35535.2,26011.1
16.1298,worker_0,1,0.142857,27106.3,26011.1
